Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
Isopropyl Alcohol (Menstrual Cup Cleanser),Antimicrobial,Alcohol,Menstrual Cup Cleanser,Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Citric Acid (Menstrual Cup Cleanser),Cleansing Agent,Acid,Menstrual Cup Cleanser,Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Benzalkonium Chloride (Wipes),Antimicrobial,Preservative,"Feminine Cleansing Wipes, Wet Wipes",Synthetic,Moderate Risk,Medium,Medium,Approved,No Alternate Names
Polyhexamethylene Biguanide,Antimicrobial,Preservative,"Wet Wipes, Hand Sanitizer",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Ethylhexylglycerin (Wipes),Preservative Booster,Preservative,"Wet Wipes, Baby Wipes",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Aloe Vera Extract (Wipes),Soothing Agent,Botanical Extract,"Wet Wipes, Baby Wipes",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Chamomile Extract (Wipes),Soothing Agent,Botanical Extract,"Baby Wipes, Feminine Cleansing Wipes",Natural,Safe,Medium,Low,Approved,No Alternate Names
Polyester Nonwoven Fabric,Material,Synthetic Fiber,"Wet Wipes, Sheet Mask",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Viscose Nonwoven Fabric,Material,Natural Fiber,"Wet Wipes, Sheet Mask",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Cellulose Sheet Mask Fabric,Material,Natural Fiber,Sheet Mask,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Bio-Cellulose (Fermented Cellulose),Material,Biotechnology Derivative,Sheet Mask,Biotechnology Derived,Safe,Low,No Risk,Approved,Fermented Cellulose
Hydrogel (Cross-linked Polymer),Material,Polymer,"Eye Mask, Sheet Mask",Synthetic,Safe,Low,No Risk,Approved,Cross-linked Polymer
Ethylene Vinyl Acetate,Material,Polymer,"Hair Wax, Styling Products",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PVP/Dimethylaminoethylmethacrylate Copolymer,Film Former,Polymer,"Hair Gel, Hair Wax",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Acrylamidopropyltrimonium Chloride/Acrylamide Copolymer,Film Former,Polymer,Hair Gel,Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Beeswax (Hair Wax),Texturizer,Wax,"Hair Wax, Hair Pomade",Animal Derived,Safe,Medium,No Risk,Approved,No Alternate Names
Carnauba Wax (Hair Wax),Texturizer,Wax,"Hair Wax, Hair Pomade",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Petrolatum (Hair Pomade),Occlusive,Wax,"Hair Wax, Hair Pomade",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Lanolin (Hair Pomade),Emollient,Wax,"Hair Wax, Hair Pomade",Animal Derived,Safe,High,Medium,Approved,No Alternate Names
Butylene Glycol (Hair Spray),Solvent,Solvent,"Hair Spray, Styling Gel",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Dimethyl Ether,Propellant,Propellant,"Hair Spray, Deodorant",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Butane,Propellant,Propellant,"Deodorant, Hair Spray, Shaving Foam",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Isobutane,Propellant,Propellant,"Deodorant, Shaving Foam",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Propane,Propellant,Propellant,"Deodorant, Hair Spray",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Nitrous Oxide,Propellant,Propellant,"Shaving Foam, Mousse",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Stearamidopropyl Dimethylamine,Conditioning Agent,Amine,"Conditioner, Hair Mask",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Dicetyldimonium Chloride,Conditioning Agent,Quaternary Ammonium,"Conditioner, Hair Mask",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Isopropyl Titanium Triisostearate (Sunscreen),Surface Treatment,Emollient,Sunscreen,Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ethylhexyl Triazone,UV Filter,UV Filter,Sunscreen,Synthetic,Safe,Low,Low,Country Restricted,No Alternate Names
Drometrizole Trisiloxane,UV Filter,UV Filter,Sunscreen,Synthetic,Safe,Low,Low,Country Restricted,No Alternate Names
Polysilicone-15 (Sunscreen),UV Filter,UV Filter,Sunscreen,Synthetic,Safe,Low,Low,Approved,No Alternate Names
Terephthalylidene Dicamphor Sulfonic Acid,UV Filter,UV Filter,Sunscreen,Synthetic,Safe,Low,Low,Country Restricted,No Alternate Names
Disodium Phenyl Dibenzimidazole Tetrasulfonate,UV Filter,UV Filter,Sunscreen,Synthetic,Safe,Low,Low,Country Restricted,No Alternate Names
4-Methylbenzylidene Camphor,UV Filter,UV Filter,Sunscreen,Synthetic,Moderate Risk,Medium,Medium,Country Restricted,No Alternate Names
PEG-25 PABA,UV Filter,UV Filter,Sunscreen,Synthetic,Moderate Risk,Medium,Medium,Country Restricted,No Alternate Names
Padimate O,UV Filter,UV Filter,Sunscreen,Synthetic,Moderate Risk,Medium,Medium,Country Restricted,No Alternate Names
o-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
m-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
"2,4-Diaminoanisole",Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
"2,4-Diaminoanisole Sulfate",Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
4-Amino-3-Nitrophenol,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
2-Nitro-p-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
4-Nitro-o-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
4-Methoxy-m-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
"2,4-Diaminotoluene",Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
o-Toluidine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
o-Anisidine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
4-Chloro-m-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,High,Restricted,No Alternate Names
2-Amino-4-Nitrophenol,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
4-Nitro-m-Phenylenediamine,Colorant,Colorant,"Hair Color, Hair Dye",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
HC Blue No. 1,Colorant,Colorant,"Hair Color, Semi-Permanent Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
HC Red No. 3,Colorant,Colorant,"Hair Color, Semi-Permanent Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Disperse Blue 1,Colorant,Colorant,"Hair Color, Semi-Permanent Hair Dye",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Basic Blue 99,Colorant,Colorant,"Hair Color, Semi-Permanent Hair Dye",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
Solvent Yellow 2,Colorant,Colorant,"Hair Color, Cosmetic Colorant",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Sudan I (CI 12055),Colorant,Colorant,Cosmetic Colorant,Synthetic,High Risk,Medium,Medium,Restricted,CI 12055
Lead Acetate,Colorant,Colorant,Progressive Hair Dye,Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Thimerosal,Preservative,Preservative,Eye Cosmetics,Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
Hydroquinone,Skin Lightening Agent,Active Ingredient,"Skin Lightening Cream, Spot Corrector",Synthetic,High Risk,Medium,High,Restricted,No Alternate Names
Methylene Glycol (Formaldehyde Solution),Hair Straightening Agent,Preservative,"Keratin Hair Treatment, Hair Straightening",Synthetic,High Risk,High,High,Restricted,Formaldehyde Solution
Formaldehyde,Preservative,Preservative,"Nail Hardener, Keratin Hair Treatment",Synthetic,High Risk,High,High,Restricted,No Alternate Names
Musk Ambrette,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Musk Xylene,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,High Risk,Low,Low,Restricted,No Alternate Names
Musk Ketone,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,High Risk,Low,Low,Restricted,No Alternate Names
Musk Moskene,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,High Risk,Low,Low,Restricted,No Alternate Names
Methyleugenol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Naturally Derived,High Risk,Medium,Medium,Restricted,No Alternate Names
Butylphenyl Methylpropional (Lilial),Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance, Body Wash",Synthetic,High Risk,Medium,Medium,Restricted,Lilial
Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde (Lyral),Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,High Risk,High,Medium,Restricted,Lyral
Atranol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Natural,High Risk,High,Medium,Restricted,No Alternate Names
Chloroatranol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Natural,High Risk,High,Medium,Restricted,No Alternate Names
Isobutylparaben,Preservative,Preservative,"Moisturizer, Lotion",Synthetic,High Risk,Low,Low,Restricted,No Alternate Names
Isopropylparaben,Preservative,Preservative,"Moisturizer, Lotion",Synthetic,High Risk,Low,Low,Restricted,No Alternate Names
Chloroacetamide,Preservative,Preservative,"Cream, Lotion",Synthetic,High Risk,Medium,Medium,Restricted,No Alternate Names
Diethanolamine,Emulsifier,Amine,"Shampoo, Body Wash, Cream",Synthetic,High Risk,Low,Medium,Restricted,No Alternate Names
8-Methoxypsoralen,Tanning Accelerant,Active Ingredient,Tanning Accelerator,Naturally Derived,High Risk,Medium,High,Restricted,No Alternate Names
Bergapten (5-Methoxypsoralen),Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Natural,High Risk,Medium,High,Restricted,5-Methoxypsoralen
Quaternium-15,Preservative,Preservative,"Shampoo, Cleanser, Cosmetic Cream",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
Myroxylon Pereirae Resin Extract (Peru Balsam),Fragrance Ingredient,Botanical Extract,"Perfume, Lip Balm, Fragrance",Natural,Moderate Risk,High,Medium,Restricted,Peru Balsam
Evernia Prunastri Extract (Oakmoss),Fragrance Ingredient,Botanical Extract,"Perfume, Fragrance",Natural,Moderate Risk,High,Medium,Restricted,Oakmoss
Evernia Furfuracea Extract (Treemoss),Fragrance Ingredient,Botanical Extract,"Perfume, Fragrance",Natural,Moderate Risk,High,Medium,Restricted,Treemoss
Cinnamal (Cinnamaldehyde),Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance, Toothpaste",Naturally Derived,Moderate Risk,High,Medium,Restricted,Cinnamaldehyde
Cinnamyl Alcohol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Naturally Derived,Moderate Risk,High,Medium,Approved,No Alternate Names
Isoeugenol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Naturally Derived,Moderate Risk,High,Medium,Restricted,No Alternate Names
Amyl Cinnamal,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Amylcinnamyl Alcohol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Alpha-Isomethyl Ionone,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Anisyl Alcohol,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Benzyl Cinnamate,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Benzyl Benzoate,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Lanolin Alcohol (Wool Alcohols),Emollient,Emollient,"Lip Balm, Cream, Ointment",Animal Derived,Safe,High,Medium,Approved,Wool Alcohols
Colophonium (Rosin),Film Former,Polymer,"Mascara, Hair Wax, Adhesive",Natural,Moderate Risk,High,Medium,Approved,Rosin
p-Aminobenzoic Acid (PABA),UV Filter,UV Filter,Sunscreen,Synthetic,Moderate Risk,High,Medium,Restricted,PABA
Glyceryl Thioglycolate,Reducing Agent,Reducing Agent,"Perm Solution, Hair Straightener",Synthetic,High Risk,High,High,Restricted,No Alternate Names
"2-Bromo-2-Nitropropane-1,3-Diol (Bronopol)",Preservative,Preservative,"Shampoo, Cream, Lotion",Synthetic,Moderate Risk,Medium,Medium,Approved,Bronopol
Tosylamide/Epoxy Resin,Film Former,Polymer,Nail Polish,Synthetic,Moderate Risk,High,Medium,Approved,No Alternate Names
p-tert-Butylphenol Formaldehyde Resin,Film Former,Polymer,"Nail Polish, Adhesive",Synthetic,High Risk,High,Medium,Restricted,No Alternate Names
Propolis Extract (Bee Propolis),Skin Conditioning Agent,Botanical Extract,"Lip Balm, Cream, Toothpaste",Natural,Safe,High,Medium,Approved,Bee Propolis
Diazolidinyl Urea/Formaldehyde Complex,Preservative,Preservative,"Shampoo, Lotion",Synthetic,Moderate Risk,High,Medium,Approved,No Alternate Names
Cobalt Chloride (Trace Colorant),Colorant,Colorant,"Tattoo Ink, Cosmetic Colorant",Synthetic,High Risk,High,High,Restricted,No Alternate Names
Potassium Chloride,Salt,Salt,"Deodorant, Toner, Electrolyte Mist",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Magnesium Chloride,Salt,Salt,"Bath Salt, Body Spray",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Calcium Chloride,Desiccant,Salt,"Deodorant, Bath Product",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Sulfate,Filler,Salt,"Bath Salt, Powder",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Zinc Sulfate,Skin Conditioning Agent,Mineral,"Deodorant, Astringent Toner",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Calcium Silicate,Anti-Caking Agent,Mineral,"Powder, Deodorant",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Magnesium Silicate,Anti-Caking Agent,Mineral,"Powder, Face Powder",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Aluminum Oxide,Abrasive,Mineral,"Exfoliating Scrub, Nail Buffer",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Perlite,Exfoliant,Mineral,"Facial Scrub, Body Scrub",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Glycine,Buffering Agent,Amino Acid,"Skincare Serum, Haircare, Oral Care",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Alanine,Skin Conditioning Agent,Amino Acid,"Serum, Moisturizer",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Arginine,pH Adjuster,Amino Acid,"Serum, Haircare, Cleanser",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Serine,Skin Conditioning Agent,Amino Acid,"Moisturizer, Serum",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Proline,Skin Conditioning Agent,Amino Acid,Anti-Aging Serum,Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Threonine,Skin Conditioning Agent,Amino Acid,"Moisturizer, Serum",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Aspartic Acid,Skin Conditioning Agent,Amino Acid,"Moisturizer, Serum",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Ceramide 1,Skin Conditioning Agent,Lipid,"Moisturizer, Barrier Repair Cream",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Ceramide 2,Skin Conditioning Agent,Lipid,"Moisturizer, Barrier Repair Cream",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Ceramide 6-II,Skin Conditioning Agent,Lipid,"Moisturizer, Barrier Repair Cream",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Beta-Sitosterol,Skin Conditioning Agent,Lipid,"Moisturizer, Anti-Aging Serum",Natural,Very Safe,No Risk,Low,Approved,No Alternate Names
Inositol,Hair Conditioning Agent,Vitamin,"Conditioner, Serum",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Ascorbate,Antioxidant,Vitamin,"Serum, Moisturizer",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Calcium Ascorbate,Antioxidant,Vitamin,"Serum, Moisturizer",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Zinc Gluconate,Skin Conditioning Agent,Mineral,"Deodorant, Toothpaste",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Magnesium Aspartate,Skin Conditioning Agent,Mineral,Bath Product,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Potassium Sorbate (Baby Care Grade),Preservative,Preservative,"Baby Wipes, Baby Lotion",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Hydrogenated Starch Hydrolysate,Humectant,Humectant,"Toothpaste, Moisturizer",Naturally Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Maltodextrin,Film Former,Polysaccharide,"Face Mask, Powder",Naturally Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Pullulan,Film Former,Polysaccharide,"Peel-Off Mask, Serum",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Cyclodextrin (Beta-Cyclodextrin),Odor Absorber,Polysaccharide,"Deodorant, Fragrance",Naturally Derived,Very Safe,No Risk,Low,Approved,Beta-Cyclodextrin
Sclerotium Gum (Baby Care Grade),Thickener,Polysaccharide,"Baby Lotion, Baby Cream",Naturally Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Hyaluronate (Low Molecular Weight),Humectant,Humectant,"Serum, Moisturizer",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Beta Glucan (Yeast Derived),Skin Conditioning Agent,Polysaccharide,"Serum, Moisturizer",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Trehalose (Baby Care Grade),Humectant,Humectant,"Baby Cream, Baby Lotion",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Cocoyl Isethionate (Baby Care Grade),Surfactant,Surfactant,"Baby Wash, Baby Shampoo",Naturally Derived,Very Safe,Low,Low,Approved,No Alternate Names
Panthenyl Ethyl Ether,Hair Conditioning Agent,Vitamin,"Conditioner, Leave-In Treatment",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Biotinyl Tripeptide-1,Hair Conditioning Agent,Peptide,"Hair Serum, Scalp Treatment",Biotechnology Derived,Very Safe,Low,Low,Approved,No Alternate Names
Copper Gluconate,Skin Conditioning Agent,Mineral,Anti-Aging Serum,Mineral,Very Safe,Low,Low,Approved,No Alternate Names
Manganese Gluconate,Skin Conditioning Agent,Mineral,Anti-Aging Serum,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Gluconate,Chelating Agent,Chelating Agent,"Shampoo, Cleanser",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Piperonal,Fragrance Ingredient,Fragrance Allergen,"Perfume, Fragrance",Synthetic,Moderate Risk,Low,Low,Approved,No Alternate Names
Diethylene Glycol Monoethyl Ether,Solvent,Solvent,"Fragrance, Nail Polish Remover",Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Ethylhexylglycerin (Deodorant Grade),Deodorant Agent,Deodorant Agent,"Deodorant, Antiperspirant",Synthetic,Moderate Risk,Low,Low,Approved,No Alternate Names
Zirconium Trichlorohydrex Gly,Antiperspirant Agent,Antiperspirant Agent,"Antiperspirant, Deodorant",Mineral,Moderate Risk,Low,Medium,Restricted,No Alternate Names
Sodium Perborate,Bleaching Agent,Oxidizing Agent,Teeth Whitening Product,Synthetic,Moderate Risk,Low,Medium,Restricted,No Alternate Names
Sodium Cetearyl Sulfate,Emulsifier,Surfactant,"Cream, Lotion",Synthetic,Safe,No Risk,Low,Approved,No Alternate Names
Cetearyl Olivate,Emulsifier,Emulsifier,"Cream, Lotion",Naturally Derived,Safe,No Risk,Low,Approved,No Alternate Names
Sorbitan Olivate,Emulsifier,Emulsifier,"Cream, Lotion",Naturally Derived,Safe,No Risk,Low,Approved,No Alternate Names
Polyglyceryl-6 Distearate,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,No Risk,Low,Approved,No Alternate Names
Cetyl PEG/PPG-10/1 Dimethicone (Emulsifier Grade),Emulsifier,Silicone,"Sunscreen, Foundation",Synthetic,Safe,No Risk,Low,Approved,No Alternate Names
Sodium Stearoyl Glutamate,Emulsifier,Surfactant,"Cream, Lotion",Naturally Derived,Safe,No Risk,Low,Approved,No Alternate Names
Isoamyl Cocoate,Emollient,Emollient,"Sunscreen, Lotion",Synthetic,Safe,No Risk,Low,Approved,No Alternate Names
Coco-Caprylate/Caprate,Emollient,Emollient,"Facial Oil, Serum",Naturally Derived,Safe,No Risk,Low,Approved,No Alternate Names
Neopentyl Glycol Diethylhexanoate,Emollient,Emollient,"Lotion, Sunscreen",Synthetic,Safe,No Risk,Low,Approved,No Alternate Names
Dicaprylyl Ether,Emollient,Emollient,"Serum, Facial Oil",Naturally Derived,Safe,No Risk,Low,Approved,No Alternate Names
Sodium Phosphate,pH Adjuster,Salt,"Bath Product, Toothpaste",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Disodium Phosphate,pH Adjuster,Salt,"Cream, Lotion",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Trisodium Phosphate,pH Adjuster,Salt,"Cleanser, Bath Product",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Metasilicate,pH Adjuster,Mineral,"Bath Product, Cleanser",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Ammonium Alum,Astringent,Salt,Deodorant Crystal,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Zeolite,Odor Absorber,Mineral,"Deodorant, Antiperspirant",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Sodium Aluminosilicate,Anti-Caking Agent,Mineral,"Powder, Face Powder",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Nylon-6,Viscosity Controlling Agent,Polymer,"Powder, Makeup",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
Silica Microspheres,Optical Diffuser,Mineral,"Foundation, Primer",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Polymethyl Methacrylate (PMMA),Optical Diffuser,Polymer,"Foundation, Primer",Synthetic,Very Safe,No Risk,Low,Approved,PMMA
Calcium Phosphate,Abrasive,Mineral,Toothpaste,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Potassium Bicarbonate,pH Adjuster,Salt,"Bath Product, Effervescent Bath Bomb",Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Ammonium Bicarbonate,pH Adjuster,Salt,Effervescent Bath Bomb,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Magnesium Citrate,Skin Conditioning Agent,Salt,Bath Salt,Mineral,Very Safe,No Risk,Low,Approved,No Alternate Names
Valine,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Leucine,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Isoleucine,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Histidine,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Lysine HCl,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Glutamic Acid,Skin Conditioning Agent,Amino Acid,"Serum, Haircare",Biotechnology Derived,Very Safe,No Risk,Low,Approved,No Alternate Names
Trimethylsiloxyphenyl Dimethicone,Emollient,Silicone,"Foundation, Serum",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
PEG-10 Dimethicone,Emulsifier,Silicone,"Sunscreen, Foundation",Synthetic,Very Safe,No Risk,Low,Approved,No Alternate Names
